1.27,2
1.3,1
1.35,2
1.37,2
1.37,1
1.37,2
1.37,1
1.37,2
1.35,1
1.35,1
1.35,2
1.37,1
1.37,2
1.35,0
1.35,2
1.35,2
1.37,2
1.37,2
1.4,1
1.4,2
1.4,1
1.42,2
1.42,2
1.42,1
1.42,2
1.45,1
1.45,2
1.45,1
1.48,2
1.45,1
1.48,2
1.48,2
1.5,1
1.5,2
1.5,1
1.52,2
1.52,2
1.52,1
1.52,2
1.55,1
1.55,2
1.55,1
1.55,2
1.55,2
1.55,1
1.55,2
1.55,1
1.58,3
1.58,1
1.6,2
1.6,2
1.6,1
1.6,2
1.63,1
1.65,3
1.63,1
1.65,3
1.65,2
1.65,1
1.67,3
1.67,1
1.7,3
1.67,1
1.7,2
1.7,2
1.7,1
1.7,2
1.7,1
1.7,2
1.7,1
1.7,2
1.73,3
1.73,1
1.75,3
1.75,1
1.77,3
1.75,1
1.77,2
1.77,2
1.77,1
1.77,2
1.77,1
1.77,2
1.75,1
1.77,2
1.77,2
1.77,1
1.75,2
1.75,1
1.75,2
1.73,1
1.75,2
1.75,2
1.75,1
1.73,2
1.73,1
1.7,2
1.7,2
1.73,2
1.7,2
1.7,1
1.7,3
1.7,1
1.73,3
1.7,1
1.73,2
1.73,2
1.73,1
1.73,2
1.73,1
1.73,2
1.67,1
1.7,2
1.67,2
1.67,1
1.65,2
1.65,1
1.65,2
1.63,1
1.65,2
1.65,2
1.65,1
1.67,3
1.67,1
1.67,2
1.67,2
1.7,2
1.7,2
1.7,1
1.73,3
1.73,1
1.75,3
1.75,2
1.77,2
1.77,2
1.77,1
1.77,2
1.75,1
1.75,2
1.75,2
1.77,2
1.75,2
1.75,1
1.75,3
1.75,1
1.75,2
1.75,2
1.75,1
1.77,3
1.77,1
1.8,3
1.8,1
1.8,2
1.8,2
1.8,1
1.8,2
1.8,1
1.8,2
1.8,1
1.8,2
1.8,2
1.8,1
1.77,2
1.77,1
1.8,3
1.77,1
1.77,2
1.77,2
1.77,1
1.75,2
1.75,1
1.75,3
1.73,1
1.73,2
1.73,2
1.73,1
1.75,3
1.75,1
1.77,3
1.75,1
1.75,2
1.75,2
1.77,2
1.75,2
1.75,1
1.77,3
1.75,1
1.77,2
1.75,2
1.75,1
1.75,3
1.75,1
1.75,2
1.73,1
1.75,2
1.75,2
1.77,2
1.77,2
1.77,1
1.77,2
1.75,1
1.77,2
1.77,2
1.77,1
1.75,2
1.75,1
1.77,3
